	UMAP1	UMAP2
293T_TFF1_DNA_Pool-1_1E:0I:O2:10	2.2608893	8.002148
293T_TFF1_DNA_Pool-1_1E:0M:54:12	-0.32068858	8.256294
293T_TFF1_DNA_Pool-1_1E:0U:E6:07	-1.0481008	10.156397
293T_TFF1_DNA_Pool-1_1E:0X:33:07	-0.006334102	7.116227
293T_TFF1_DNA_Pool-1_1E:0X:80:12	0.9884936	9.194856
293T_TFF1_DNA_Pool-1_1E:0X:J0:07	-0.90380824	9.486325
293T_TFF1_DNA_Pool-1_1E:0Y:66:04	-2.6647825	9.127925
293T_TFF1_DNA_Pool-1_1E:0Y:93:11	-0.2052752	9.037516
293T_TFF1_DNA_Pool-1_1E:0Y:H0:12	-0.013781003	8.152318
293T_TFF1_DNA_Pool-1_1E:15:17:09	0.915906	8.529123
293T_TFF1_DNA_Pool-1_1E:31:T4:06	0.109187625	9.278686
293T_TFF1_DNA_Pool-1_1E:35:S9:07	-0.66161025	10.060466
293T_TFF1_DNA_Pool-1_1E:35:U1:09	-0.95738745	6.906269
293T_TFF1_DNA_Pool-1_1E:39:O1:06	-1.5791932	9.042478
293T_TFF1_DNA_Pool-1_1E:39:U6:12	-0.49128708	8.3020735
293T_TFF1_DNA_Pool-1_1E:51:B6:10	1.5223045	7.8637505
293T_TFF1_DNA_Pool-1_1E:79:45:07	0.2023929	7.5764713
293T_TFF1_DNA_Pool-1_1E:95:97:04	-0.21294887	7.9458084
293T_TFF1_DNA_Pool-1_1E:95:Z8:10	-2.1795151	8.239558
293T_TFF1_DNA_Pool-1_1E:A0:T0:07	0.5767692	8.922138
293T_TFF1_DNA_Pool-1_1E:A3:Q8:01	-1.702812	10.15856
293T_TFF1_DNA_Pool-1_1E:A4:0O:10	-1.8940686	6.4854207
293T_TFF1_DNA_Pool-1_1E:A4:25:12	0.8796325	8.595356
293T_TFF1_DNA_Pool-1_1E:A7:L8:01	-1.5958085	6.8833213
293T_TFF1_DNA_Pool-1_1E:A8:54:07	-0.44892788	7.8266416
293T_TFF1_DNA_Pool-1_1E:B1:O2:08	2.0129232	7.89224
293T_TFF1_DNA_Pool-1_1E:B5:56:12	-0.92276216	5.9049897
293T_TFF1_DNA_Pool-1_1E:B6:B6:09	-1.5748947	8.466895
293T_TFF1_DNA_Pool-1_1E:B6:I9:11	-2.5475233	8.640823
293T_TFF1_DNA_Pool-1_1E:B6:U5:09	-0.5978607	10.208699
293T_TFF1_DNA_Pool-1_1E:C4:33:07	1.5808501	7.118788
293T_TFF1_DNA_Pool-1_1E:C7:T8:12	2.211085	8.800158
293T_TFF1_DNA_Pool-1_1E:D5:E6:12	0.88817793	9.765404
293T_TFF1_DNA_Pool-1_1E:D9:L6:12	-0.2965977	8.076926
293T_TFF1_DNA_Pool-1_1E:E0:45:12	1.3018017	9.531358
293T_TFF1_DNA_Pool-1_1E:E0:J0:12	0.63613325	9.22838
293T_TFF1_DNA_Pool-1_1E:F7:98:11	-0.74565774	9.098534
293T_TFF1_DNA_Pool-1_1E:F7:H0:12	-0.028112954	7.2996526
293T_TFF1_DNA_Pool-1_1E:G0:08:07	-1.1407177	9.3492
293T_TFF1_DNA_Pool-1_1E:G8:G4:12	0.57082856	10.554705
293T_TFF1_DNA_Pool-1_1E:G8:N7:04	-0.26147184	9.271973
293T_TFF1_DNA_Pool-1_1E:H1:0W:03	0.98383284	6.2947574
293T_TFF1_DNA_Pool-1_1E:H5:Q8:12	-0.9096556	6.5742846
293T_TFF1_DNA_Pool-1_1E:H6:0O:01	0.1073027	9.359262
293T_TFF1_DNA_Pool-1_1E:H6:L7:07	-0.8452099	10.15182
293T_TFF1_DNA_Pool-1_1E:H9:Y1:07	-2.2380974	8.606971
293T_TFF1_DNA_Pool-1_1E:I0:O2:10	-0.8339532	8.0802765
293T_TFF1_DNA_Pool-1_1E:I3:T0:03	0.7083603	9.141656
293T_TFF1_DNA_Pool-1_1E:J1:13:10	-0.6592577	8.579096
293T_TFF1_DNA_Pool-1_1E:J1:H0:11	-0.24792524	6.173089
293T_TFF1_DNA_Pool-1_1E:J1:L0:07	1.6726105	9.661521
293T_TFF1_DNA_Pool-1_1E:J1:U6:01	-0.37860775	8.088859
293T_TFF1_DNA_Pool-1_1E:J2:G0:11	-0.12447124	7.9577136
293T_TFF1_DNA_Pool-1_1E:K4:P3:12	-1.5249907	6.5928683
293T_TFF1_DNA_Pool-1_1E:K7:0R:01	-2.1809359	9.114659
293T_TFF1_DNA_Pool-1_1E:K7:45:09	2.116892	8.012939
293T_TFF1_DNA_Pool-1_1E:K7:E6:10	-0.93567765	9.835847
293T_TFF1_DNA_Pool-1_1E:K7:X3:12	-0.72113633	8.793299
293T_TFF1_DNA_Pool-1_1E:L1:M0:01	0.42757356	9.448765
293T_TFF1_DNA_Pool-1_1E:L5:H8:12	-1.6872077	8.648673
293T_TFF1_DNA_Pool-1_1E:M3:N0:11	-0.09370134	8.519992
293T_TFF1_DNA_Pool-1_1E:M4:G8:01	-1.2333015	9.260981
293T_TFF1_DNA_Pool-1_1E:M7:56:06	1.0497546	10.088029
293T_TFF1_DNA_Pool-1_1E:M7:O2:12	-2.2906227	8.9202175
293T_TFF1_DNA_Pool-1_1E:N9:A5:10	1.1669421	9.056698
