input	kind	barcode	threshold	raw_complexity	imp_complexity	gain
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0I:O2:10	283.639	13	15	2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0M:54:12	283.639	188	2	-186
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0U:E6:07	283.639	13	5	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0X:33:07	283.639	20	14	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0X:80:12	283.639	15	11	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0X:J0:07	283.639	37	90	53
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0Y:66:04	283.639	20	1	-19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0Y:93:11	283.639	27	18	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:0Y:H0:12	283.639	24	3	-21
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:15:17:09	283.639	12	40	28
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:31:T4:06	283.639	17	32	15
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:35:S9:07	283.639	15	45	30
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:35:U1:09	283.639	23	12	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:39:O1:06	283.639	9	4	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:39:U6:12	283.639	11	3	-8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:51:B6:10	283.639	7	7	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:79:45:07	283.639	8	1	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:95:97:04	283.639	20	11	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:95:Z8:10	283.639	49	9	-40
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:A0:T0:07	283.639	12	46	34
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:A3:Q8:01	283.639	15	8	-7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:A4:0O:10	283.639	11	2	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:A4:25:12	283.639	10	10	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:A7:L8:01	283.639	332	1	-331
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:A8:54:07	283.639	13	101	88
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:B1:O2:08	283.639	8	19	11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:B5:56:12	283.639	10	95	85
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:B6:B6:09	283.639	63	7	-56
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:B6:I9:11	283.639	11	7	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:B6:U5:09	283.639	25	2	-23
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:C4:33:07	283.639	9	7	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:C7:T8:12	283.639	12	118	106
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:D5:E6:12	283.639	10	5	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:D9:L6:12	283.639	6	90	84
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:E0:45:12	283.639	128	0	-128
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:E0:J0:12	283.639	9	4	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:F7:98:11	283.639	8	6	-2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:F7:H0:12	283.639	7	9	2
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:G0:08:07	283.639	20	27	7
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:G8:G4:12	283.639	9	20	11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:G8:N7:04	283.639	6	25	19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:H1:0W:03	283.639	15	1	-14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:H5:Q8:12	283.639	10	16	6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:H6:0O:01	283.639	13	3	-10
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:H6:L7:07	283.639	12	46	34
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:H9:Y1:07	283.639	43	26	-17
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:I0:O2:10	283.639	12	1	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:I3:T0:03	283.639	13	44	31
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:J1:13:10	283.639	38	2	-36
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:J1:H0:11	283.639	27	23	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:J1:L0:07	283.639	29	29	0
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:J1:U6:01	283.639	45	11	-34
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:J2:G0:11	283.639	18	39	21
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:K4:P3:12	283.639	5	22	17
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:K7:0R:01	283.639	16	12	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:K7:45:09	283.639	8	2	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:K7:E6:10	283.639	25	44	19
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:K7:X3:12	283.639	18	7	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:L1:M0:01	283.639	14	125	111
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:L5:H8:12	283.639	113	3	-110
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:M3:N0:11	283.639	18	7	-11
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:M4:G8:01	283.639	12	6	-6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:M7:56:06	283.639	8	14	6
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:M7:O2:12	283.639	11	19	8
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:N9:A5:10	283.639	16	11	-5
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:N9:E2:07	283.639	177	0	-177
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:N9:W2:11	283.639	16	7	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:O7:0W:03	283.639	17	55	38
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:O7:93:12	283.639	10	26	16
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:O7:A6:01	283.639	6	2	-4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Q0:P8:09	283.639	17	47	30
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Q4:O1:12	283.639	12	3	-9
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:Q8:E2:10	283.639	20	24	4
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:S7:A0:12	283.639	89	5	-84
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:S8:A0:11	283.639	6	107	101
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:S8:D4:11	283.639	21	9	-12
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:T1:H2:09	283.639	30	3	-27
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:T5:08:08	283.639	22	8	-14
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U0:I9:11	283.639	7	22	15
cisTopic	factored	293T_TFF1_DNA_Pool-1_1E:U4:46:03	283.639	39	5	-34
