TF	CellCount	Raw_AME_peaks	Raw_HOMER_peaks	Raw_AME_bins	Raw_HOMER_bins	ImpGenome_AME_peaks	ImpGenome_HOMER_peaks	ImpGenome_AME_bins	ImpGenome_HOMER_bins	ImpOCR_AME_peaks	ImpOCR_HOMER_peaks	ImpOCR_AME_bins	ImpOCR_HOMER_bins	HOMER_db	HOCOMOCOv11_db
RBBP4	181396					NA	NA	NA	NA					#N/A	NA
NFYA	70292					NA	NA	NA	NA					#N/A	NA
SOX4	64652					NA	NA	NA	NA					#N/A	NA
XPA	50752					NA	NA	NA	NA					#N/A	NA
RBBP7	39619					NA	NA	NA	NA					#N/A	NA
ZNF507	30870						NA	NA	NA					#N/A	NA
E2F3	30622					2.23E-05	1.00E-70	F	1.00E-239	1.21E-221	1.00E-01			E2F3	A
NME2	30095					NA	NA	NA	NA					#N/A	NA
MBD3	28330					NA	NA	NA	NA					#N/A	NA
MLX	23262					NA	NA	NA	NA					#N/A	NA
DDIT3	22129					NA	NA	NA	NA					#N/A	NA
ZNF703	21216					NA	NA	NA	NA					#N/A	NA
GLYR1	16883						NA	NA	NA					#N/A	NA
E4F1	12061					NA	NA	NA	NA					#N/A	NA
CTCF	10410					F	1.00E-101	F	1.00E-36	F	1.00E+00			CTCF	A
SAFB	9654					NA	NA	NA	NA					#N/A	NA
MTF2	8746					NA	NA	NA	NA					#N/A	NA
ZBTB7A	7005					NA	NA	NA	NA					#N/A	NA
HOXA10	6476					NA	NA	NA	NA					#N/A	NA
HOXB9	5903						NA	NA	NA					#N/A	NA
ZNF768	5837													#N/A	NA
FLYWCH1	5824					NA	NA	NA	NA					#N/A	NA
HOXB6	5703						NA	NA	NA					#N/A	NA
DR1	5661					NA	NA	NA	NA					#N/A	NA
PA2G4	5319					NA	NA	NA	NA					#N/A	NA
ZNF512B	5185						NA	NA	NA					#N/A	NA
RBPJ	5138					NA	NA	NA	NA					#N/A	NA
ZIC2	4896					NA	NA	NA	NA					#N/A	NA
FOXC1	4760					NA	NA	NA	NA					#N/A	NA
ZNF644	4749					NA	NA	NA	NA					#N/A	NA
ZNF367	4492					NA	NA	NA	NA					#N/A	NA
TBX3	4391					NA	NA	NA	NA					#N/A	NA
HES1	4325					NA	NA	NA	NA					#N/A	NA
EZH2	3970					NA	NA	NA	NA					#N/A	NA
MAZ	3968						NA	NA	NA					#N/A	NA
SRCAP	3859					NA	NA	NA	NA					#N/A	NA
SMARCA1	3745					NA	NA	NA	NA					#N/A	NA
STAG2	3599					NA	NA	NA	NA					#N/A	NA
WIZ	3449					NA	NA	NA	NA					#N/A	NA
ZNF777	3400					NA	NA	NA	NA					#N/A	NA
HOXC9	3331						NA	NA	NA					#N/A	NA
ZNF746	3099					NA	NA	NA	NA					#N/A	NA
ZNF282	2959					NA	NA	NA	NA					#N/A	NA
CHAMP1	2942					NA	NA	NA	NA					#N/A	NA
POGK	2651					NA	NA	NA	NA					#N/A	NA
THAP6	2516					NA	NA	NA	NA					#N/A	NA
ZUFSP	2496					NA	NA	NA	NA					#N/A	NA
DNMT1	2458					NA	NA	NA	NA					#N/A	NA
FOXJ3	2303					NA	NA	NA	NA					#N/A	NA
RELA	2123					NA	NA	NA	NA					#N/A	NA
ZNF512	2122						NA	NA	NA					#N/A	NA
HOXB8	1980					NA	NA	NA	NA					#N/A	NA
ZBTB43	1818					NA	NA	NA	NA					#N/A	NA
ADNP	1792					NA	NA	NA	NA					#N/A	NA
MEF2D	1764					4.32E-03	1.00E+00	F	1.00E-02					MEF2D	A
HOXA5	1758					F	NA	F	NA					#N/A	D
ZNF143	1736					F	F	F	F					ZNF143	A
ETS2	1637					F	NA	F	NA					#N/A	B
TRAFD1	1546					NA	NA	NA	NA					#N/A	NA
ZBTB40	1535					NA	NA	NA	NA					#N/A	NA
SOX12	1508					NA	NA	NA	NA					#N/A	NA
AKAP8L	1490					NA	NA	NA	NA					#N/A	NA
NRF1	1416					F	1.00E-24	F	1.00E-107	7.86E-305	1.00E+00			NRF1	A
ZNF581	1316						NA	NA	NA					#N/A	NA
MSX2	1277					F	NA	F	NA					#N/A	D
NR1D2	1262					NA	NA	NA	NA					#N/A	NA
NEUROD4	1262					NA	NA	NA	NA					#N/A	NA
HP1	1243						NA	NA	NA					#N/A	NA
ZNF606	1235						NA	NA	NA					#N/A	NA
ZNF79	1232					NA	NA	NA	NA					#N/A	NA
HOXD10	1224					F	1.00E+00	F	1.00E-13					HOXD10	D
SREBF2	1211					F	F	F	F					SREBF2	B
FOXK1	1202					F	1.00E+00	F	1.00E-25					FOXK1	A
PCGF6	1070					NA	NA	NA	NA					#N/A	NA
ZNF503	1050					NA	NA	NA	NA					#N/A	NA
EPAS1	1046					F	F	F	F					EPAS1	B
SETDB1	1028					NA	NA	NA	NA					#N/A	NA
MEF2A	1027					F	1.00E+00	F	1.00E+00					MEF2A	A
HOXC4	1023						NA	NA	NA					#N/A	NA
