barcode	raw	cisTopic	FITS	scOpen	MAGIC	PUscOpen	cicero	scbasset	scbasset_puscopen	scbasset_cistopic	scbasset_cistopic_puscopen
293T_TFF1_DNA_Pool-1_1E:0I:O2:10	33	3260.57	447958	911045	725674	0	43.8769	33	79110.7	119	128
293T_TFF1_DNA_Pool-1_1E:0M:54:12	539	2716.43	0	2.98932e+06	6.63125e+06	6.83677e+06	610.524	539	9.67275e+06	601	624
293T_TFF1_DNA_Pool-1_1E:0U:E6:07	56	3242.65	2.06527e+06	521064	703850	822707	64.0125	56	9.06236e+06	137	149
293T_TFF1_DNA_Pool-1_1E:0X:33:07	55	2434.13	0	889866	767961	422087	64.6195	55	690543	119	132
293T_TFF1_DNA_Pool-1_1E:0X:80:12	38	1708.5	2.03296e+06	1.03987e+06	712988	0	44.888	38	0	83	89
293T_TFF1_DNA_Pool-1_1E:0X:J0:07	92	1567.5	2.13603e+06	1.01659e+06	776556	1.55175e+06	109.775	92	1.54428e+06	133	145
293T_TFF1_DNA_Pool-1_1E:0Y:66:04	67	5188.67	0	815276	873369	7.616e+06	82.9771	67	7.75689e+06	199	220
293T_TFF1_DNA_Pool-1_1E:0Y:93:11	75	10042.4	0	1.20916e+06	742538	1.11315e+06	88.6169	75	1.27469e+06	356	385
293T_TFF1_DNA_Pool-1_1E:0Y:H0:12	69	1468.84	595904	1.13243e+06	1.22865e+06	640231	81.6123	69	363034	105	114
293T_TFF1_DNA_Pool-1_1E:15:17:09	31	1517	1.78416e+06	1.80077e+06	870052	1.21419e+07	36.5556	31	1.6849e+07	69	72
293T_TFF1_DNA_Pool-1_1E:31:T4:06	52	1243.19	883537	648756	742274	810149	56.6451	52	0	84	88
293T_TFF1_DNA_Pool-1_1E:35:S9:07	31	4527.35	0	668092	900117	0	40.4733	31	3.73348e+06	153	169
293T_TFF1_DNA_Pool-1_1E:35:U1:09	55	2731.25	1.66546e+06	724395	773011	52356.9	67.4769	55	182418	129	142
293T_TFF1_DNA_Pool-1_1E:39:O1:06	21	2107.63	0	785730	23451.7	0	25.216	21	0	76	81
293T_TFF1_DNA_Pool-1_1E:39:U6:12	21	1700.42	0	770307	625032	33953.6	27.1193	21	231856	66	74
293T_TFF1_DNA_Pool-1_1E:51:B6:10	27	795.592	0	534898	809330	0	29.8559	27	0	50	51
293T_TFF1_DNA_Pool-1_1E:79:45:07	26	2028.95	2.09493e+06	492908	595971	3.19415e+06	29.858	26	933380	82	91
293T_TFF1_DNA_Pool-1_1E:95:97:04	50	1096.98	1.66274e+06	906961	935213	7.08475e+06	56.4835	50	0	80	85
293T_TFF1_DNA_Pool-1_1E:95:Z8:10	115	11665.4	2.98682e+06	1.63922e+06	793029	689569	138.717	115	825768	439	477
293T_TFF1_DNA_Pool-1_1E:A0:T0:07	26	3308.41	2.0953e+06	652888	155476	0	33.05	26	0	113	126
293T_TFF1_DNA_Pool-1_1E:A3:Q8:01	29	1684.71	2.45475e+06	1.23087e+06	679941	0	37.2295	29	53712.1	76	84
293T_TFF1_DNA_Pool-1_1E:A4:0O:10	26	1313.3	1.60465e+06	899317	25138.6	1.73526e+06	28.9382	26	2.24511e+06	60	62
293T_TFF1_DNA_Pool-1_1E:A4:25:12	26	465.743	1.36118e+06	977549	756733	0	31.1469	26	0	39	40
293T_TFF1_DNA_Pool-1_1E:A7:L8:01	796	3792.41	1.49495e+07	4.37018e+06	1.17926e+07	4.1427e+06	931.369	796	4.13781e+06	870	919
293T_TFF1_DNA_Pool-1_1E:A8:54:07	28	9575.81	0	902820	703235	0	36.8918	28	0	295	316
293T_TFF1_DNA_Pool-1_1E:B1:O2:08	25	6252.03	0	727552	845486	0	30.1097	25	0	189	205
293T_TFF1_DNA_Pool-1_1E:B5:56:12	37	1043.63	985849	596766	757072	0	44.0452	37	53712.1	65	67
