peak	degree	kcore	n_cliques	n_modules	types	genes	states
chr10:100009468-100010162	2	1	0	0	proximal	DNMBP	.
chr10:100110320-100110591	2	2	1	1	distal	.	.
chr10:100186297-100186477	1	1	0	0	proximal	ERLIN1	.
chr10:100229311-100229805	2	2	1	1	proximal	CHUK,CHUK-DT	.
chr10:100267241-100267812	1	1	0	0	proximal	CWF19L1	.
chr10:100286065-100286979	2	1	0	0	proximal	BLOC1S2	.
chr10:100346459-100346673	1	1	0	0	proximal	ENSG00000231188,SCD	.
chr10:100373320-100374124	1	1	0	0	proximal	ENSG00000289301,OLMALINC	.
chr10:100481584-100481891	1	1	0	0	distal	.	.
chr10:100481978-100482164	1	1	0	0	distal	.	.
chr10:100482402-100482833	1	1	0	0	distal	.	.
chr10:100483119-100483269	1	1	0	0	distal	.	.
chr10:100535530-100536122	2	1	0	0	distal	.	.
chr10:100654987-100655217	2	1	0	0	distal	.	.
chr10:100671114-100671282	3	2	1	1	distal	.	.
chr10:100686207-100686357	2	1	0	0	distal	.	.
chr10:100715396-100715560	1	1	0	0	distal	.	.
chr10:100729394-100729910	1	1	0	0	distal	.	.
chr10:100729981-100730131	1	1	0	0	distal	.	.
chr10:100746241-100746409	2	1	0	0	distal	.	.
chr10:100878535-100878763	1	1	0	0	distal	.	.
chr10:100969672-100969991	1	1	0	0	proximal	SEMA4G	.
chr10:100987001-100987352	3	1	0	0	proximal	MRPL43,TWNK	.
chr10:100987855-100988250	1	1	0	0	proximal	MRPL43,TWNK	.
chr10:100997704-100998104	2	1	0	0	distal	.	.
chr10:100998191-100998393	1	1	0	0	distal	.	.
chr10:101019065-101019408	2	1	0	0	distal	.	.
chr10:101030432-101030689	3	1	0	0	proximal	SFXN3	.
chr10:101031393-101031633	1	1	0	0	proximal	PDZD7,SFXN3	.
chr10:101041291-101041441	1	1	0	0	distal	.	.
chr10:101042632-101043265	1	1	0	0	distal	.	.
chr10:101062611-101062814	1	1	0	0	proximal	KAZALD1	.
chr10:101095667-101095871	1	1	0	0	distal	.	.
chr10:101142353-101142543	2	1	0	0	distal	.	.
chr10:101229908-101230530	1	1	0	0	proximal	LBX1,LBX1-AS1	.
chr10:101272290-101272490	2	1	0	0	distal	.	.
chr10:101291720-101292095	2	1	0	0	distal	.	.
chr10:101292298-101292677	1	1	0	0	distal	.	.
chr10:101353693-101354827	1	1	0	0	proximal	BTRC	.
