input	group	bin_idx_orig	bin_name	modeled_in_input	in_modeled_union	signal
raw	pos	869	chr1:869000-870000	1	1	0
raw	pos	870	chr1:870000-871000	1	1	2
raw	pos	904	chr1:904000-905000	1	1	3
raw	pos	975	chr1:975000-976000	1	1	3
raw	pos	976	chr1:976000-977000	1	1	4
raw	pos	984	chr1:984000-985000	1	0	0
raw	pos	1001	chr1:1001000-1002000	1	1	0
raw	pos	1002	chr1:1002000-1003000	1	1	1
raw	pos	1063	chr1:1063000-1064000	1	1	1
raw	pos	1064	chr1:1064000-1065000	1	1	2
raw	pos	1122	chr1:1122000-1123000	1	1	1
raw	pos	1301	chr1:1301000-1302000	1	1	1
raw	pos	1302	chr1:1302000-1303000	1	1	1
raw	pos	1372	chr1:1372000-1373000	1	1	1
raw	pos	1440	chr1:1440000-1441000	1	1	0
raw	pos	1441	chr1:1441000-1442000	1	1	2
raw	pos	1665	chr1:1665000-1666000	1	1	2
raw	pos	1906	chr1:1906000-1907000	1	1	2
raw	pos	1943	chr1:1943000-1944000	1	1	2
raw	pos	1944	chr1:1944000-1945000	1	1	3
raw	pos	1960	chr1:1960000-1961000	1	1	1
raw	pos	2139	chr1:2139000-2140000	1	1	1
raw	pos	2140	chr1:2140000-2141000	1	1	1
raw	pos	2174	chr1:2174000-2175000	1	1	2
raw	pos	2195	chr1:2195000-2196000	1	1	1
raw	pos	2315	chr1:2315000-2316000	1	1	1
raw	pos	2382	chr1:2382000-2383000	1	0	0
raw	pos	2414	chr1:2414000-2415000	1	1	2
raw	pos	2430	chr1:2430000-2431000	1	1	1
raw	pos	2539	chr1:2539000-2540000	1	0	0
raw	pos	2547	chr1:2547000-2548000	1	0	0
raw	pos	2548	chr1:2548000-2549000	1	1	0
raw	pos	2801	chr1:2801000-2802000	1	1	1
raw	pos	3284	chr1:3284000-3285000	1	0	0
raw	pos	3424	chr1:3424000-3425000	1	1	1
raw	pos	3425	chr1:3425000-3426000	1	1	2
raw	pos	3431	chr1:3431000-3432000	1	1	1
raw	pos	3483	chr1:3483000-3484000	1	1	1
raw	pos	3484	chr1:3484000-3485000	1	1	0
raw	pos	3491	chr1:3491000-3492000	1	1	3
raw	pos	3565	chr1:3565000-3566000	1	1	2
raw	pos	3695	chr1:3695000-3696000	1	1	0
raw	pos	3724	chr1:3724000-3725000	1	1	2
raw	pos	3910	chr1:3910000-3911000	1	1	2
raw	pos	3911	chr1:3911000-3912000	1	1	1
raw	pos	4585	chr1:4585000-4586000	1	1	0
raw	pos	4652	chr1:4652000-4653000	1	1	0
raw	pos	5509	chr1:5509000-5510000	1	0	0
raw	pos	5510	chr1:5510000-5511000	1	0	0
raw	pos	5514	chr1:5514000-5515000	1	1	3
raw	pos	5745	chr1:5745000-5746000	1	1	0
raw	pos	5746	chr1:5746000-5747000	1	1	2
raw	pos	6034	chr1:6034000-6035000	1	1	1
raw	pos	6041	chr1:6041000-6042000	1	1	3
raw	pos	6108	chr1:6108000-6109000	1	1	2
raw	pos	6109	chr1:6109000-6110000	1	1	1
raw	pos	6205	chr1:6205000-6206000	1	1	3
raw	pos	6238	chr1:6238000-6239000	1	1	2
raw	pos	6245	chr1:6245000-6246000	1	1	1
raw	pos	6246	chr1:6246000-6247000	1	1	1
raw	pos	6247	chr1:6247000-6248000	1	1	2
raw	pos	6280	chr1:6280000-6281000	1	1	1
raw	pos	6281	chr1:6281000-6282000	1	1	0
raw	pos	6348	chr1:6348000-6349000	1	1	1
raw	pos	6404	chr1:6404000-6405000	1	1	4
raw	pos	6423	chr1:6423000-6424000	1	1	0
raw	pos	6438	chr1:6438000-6439000	1	1	6
raw	pos	6475	chr1:6475000-6476000	1	1	0
raw	pos	6486	chr1:6486000-6487000	1	0	0
raw	pos	6489	chr1:6489000-6490000	1	1	2
raw	pos	6490	chr1:6490000-6491000	1	1	2
raw	pos	6554	chr1:6554000-6555000	1	1	1
raw	pos	6701	chr1:6701000-6702000	1	1	3
raw	pos	6702	chr1:6702000-6703000	1	1	5
raw	pos	6720	chr1:6720000-6721000	1	1	1
raw	pos	6727	chr1:6727000-6728000	1	1	0
raw	pos	7070	chr1:7070000-7071000	1	1	0
raw	pos	7207	chr1:7207000-7208000	1	1	0
raw	pos	7208	chr1:7208000-7209000	1	0	0
raw	pos	7539	chr1:7539000-7540000	1	1	1
raw	pos	7540	chr1:7540000-7541000	1	1	0
