clique_id	n_regions	chromosome	span_bp	region_types	genes	min_pair_score	mean_pair_score	max_pair_p	max_pair_fdr	density	states	regions
C00001	4	chr11	617469	distal:2;proximal:2	CYB561A3;TMEM138;TMEM216	0.050387	0.106986	1.81533e-05	0.00213087	1.0	.	chr11:60775439-60775741;chr11:61149918-61150068;chr11:61361812-61362417;chr11:61392335-61392908
C00002	4	chr6	580793	distal:2;proximal:2	H1-2;H4C2	0.061231	0.240897	2.16688e-07	3.03448e-05	1.0	.	chr6:26026866-26027280;chr6:26056306-26056606;chr6:26555222-26555417;chr6:26607489-26607659
C00003	4	chr19	481411	distal:2;proximal:2	ENSG00000167807;FDX2;PIN1;PIN1-DT	0.048269	0.087106	3.9182e-05	0.00443932	1.0	.	chr19:10096052-10096531;chr19:10194414-10195208;chr19:10315946-10316112;chr19:9834701-9835581
C00004	4	chr11	391924	distal:1;proximal:3	ARAP1;ATG16L2;ENSG00000285693;STARD10	0.040581	0.105719	0.000493305	0.0483035	1.0	.	chr11:72793596-72794309;chr11:72813942-72814202;chr11:72814325-72814513;chr11:73185192-73185520
C00005	4	chr6	215433	distal:3;proximal:1	HCG11	0.044533	0.090839	0.000141156	0.0148622	1.0	.	chr6:26341504-26342121;chr6:26520770-26521327;chr6:26554059-26554270;chr6:26556501-26556937
C00006	4	chr7	412515	distal:3;proximal:1	ALKBH4;LRWD1	0.052458	0.091954	8.30384e-06	0.00100948	1.0	.	chr7:102278444-102278594;chr7:102464163-102464467;chr7:102618523-102618881;chr7:102690700-102690959
C00007	4	chr1	659749	distal:1;proximal:3	ATAD3B;B3GALT6;GNB1;GNB1-DT;SDF4	0.048821	0.135828	3.21576e-05	0.00368262	1.0	.	chr1:1231890-1232389;chr1:1471375-1471870;chr1:1758986-1759136;chr1:1890978-1891639
C00008	4	chr16	925767	distal:2;proximal:2	ENSG00000275263;MAPK3;SETD1A	0.06543	0.157192	3.12695e-08	4.65616e-06	1.0	.	chr16:30032284-30032529;chr16:30123181-30123544;chr16:30409482-30409719;chr16:30957832-30958051
C00009	4	chr17	657189	distal:3;proximal:1	ENSG00000266664	0.061627	0.080777	1.81517e-07	2.55941e-05	1.0	.	chr17:18569321-18569628;chr17:19088906-19089253;chr17:19149552-19149874;chr17:19226151-19226510
C00010	4	chr17	648448	distal:1;proximal:3	GALK1;GGA3;MRPS7;NT5C	0.044134	0.155861	0.000160907	0.0168171	1.0	.	chr17:75131671-75131984;chr17:75261291-75261761;chr17:75764626-75764816;chr17:75779658-75780119
C00011	4	chr17	677875	distal:3;proximal:1	ENSG00000266664	0.040718	0.068496	0.000473077	0.0464644	1.0	.	chr17:19088906-19089253;chr17:19149552-19149874;chr17:19226151-19226510;chr17:19766574-19766781
C00012	3	chr6	173745	distal:2;proximal:1	ECHDC1	0.067387	0.115964	1.21585e-08	1.86536e-06	1.0	.	chr6:127343186-127343686;chr6:127365359-127365509;chr6:127516781-127516931
C00013	3	chr19	570628	distal:0;proximal:3	DHDH;HSD17B14;TMEM143	0.049059	0.061618	2.95204e-05	0.00339183	1.0	.	chr19:48363116-48363402;chr19:48835484-48835679;chr19:48933367-48933744
