peak1	peak2	coaccess	qval	type1	type2	n_links
chr10:100110320-100110591	chr10:100229311-100229805	0.0576231	0.000136824	proximal	distal	8
chr10:100185815-100186181	chr10:100997704-100998104	0.0236321	0.612027	proximal	distal	4
chr10:100229311-100229805	chr10:100671114-100671282	0.0973874	5.17006e-14	proximal	distal	8
chr10:100267241-100267812	chr10:100686207-100686357	0.0554799	0.000321294	proximal	distal	4
chr10:100286065-100286979	chr10:100998191-100998393	0.0419627	0.0323807	proximal	distal	4
chr10:100346459-100346673	chr10:100481584-100481891	0.0464248	0.00817065	proximal	distal	8
chr10:100346843-100347200	chr10:100535530-100536122	0.0224243	0.612027	proximal	distal	8
chr10:100346843-100347200	chr10:100760904-100761054	0.0215558	0.612027	proximal	distal	8
chr10:100373320-100374124	chr10:100760904-100761054	0.0219228	0.612027	proximal	distal	8
chr10:100373320-100374124	chr10:100878535-100878763	0.0435744	0.0199579	proximal	distal	8
chr10:100433590-100434067	chr10:100987001-100987352	0.028363	0.612027	proximal	distal	8
chr10:100535530-100536122	chr10:100987855-100988250	0.112838	0	proximal	distal	8
chr10:100535530-100536122	chr10:101031393-101031633	0.0641748	8.26566e-06	proximal	distal	8
chr10:100686207-100686357	chr10:101353693-101354827	0.0442893	0.0160345	proximal	distal	4
chr10:100715396-100715560	chr10:100969672-100969991	0.296191	0	proximal	distal	4
chr10:100912662-100913093	chr10:101161749-101162054	0.0385649	0.0843743	proximal	distal	8
chr10:100987001-100987352	chr10:100997704-100998104	0.0474088	0.00591973	proximal	distal	8
chr10:100987001-100987352	chr10:101041291-101041441	0.124644	0	proximal	distal	8
chr10:101019065-101019408	chr10:101030432-101030689	0.0462067	0.00877134	proximal	distal	4
chr10:101019065-101019408	chr10:101783360-101783510	0.024136	0.612027	proximal	distal	4
chr10:101062611-101062814	chr10:101161749-101162054	0.0246952	0.612027	proximal	distal	4
chr10:101229908-101230530	chr10:101292298-101292677	0.063487	1.12513e-05	proximal	distal	8
chr10:101566407-101566913	chr10:101587927-101588342	0.0675815	1.70352e-06	proximal	distal	4
chr10:101570254-101570623	chr10:101857028-101857236	0.0715932	2.38651e-07	proximal	distal	4
chr10:101570254-101570623	chr10:102399547-102399985	0.0261308	0.612027	proximal	distal	4
chr10:101579355-101579523	chr10:102420964-102421454	0.0868651	4.62583e-11	proximal	distal	4
chr10:101587927-101588342	chr10:101841118-101841408	0.0847216	1.69149e-10	proximal	distal	4
chr10:101587927-101588342	chr10:102091154-102091304	0.210051	0	proximal	distal	4
chr10:101667869-101668195	chr10:102132814-102133124	0.107199	0	proximal	distal	4
chr10:101695095-101695405	chr10:102058017-102058167	0.0875887	2.96134e-11	proximal	distal	8
chr10:101695095-101695405	chr10:102313188-102313403	0.0868142	4.76982e-11	proximal	distal	8
chr10:101817953-101818267	chr10:102169501-102169770	0.0762443	2.11131e-08	proximal	distal	8
chr10:101829598-101829810	chr10:102151935-102152660	0.036305	0.15267	proximal	distal	4
chr10:101836070-101836272	chr10:102064865-102065101	0.035032	0.210168	proximal	distal	4
chr10:101857028-101857236	chr10:102132814-102133124	0.106095	0	proximal	distal	4
chr10:101857028-101857236	chr10:102461861-102462150	0.0646415	6.6861e-06	proximal	distal	4
chr10:102035767-102035917	chr10:102420964-102421454	0.0383627	0.0890767	proximal	distal	4
chr10:102055819-102056437	chr10:102088540-102088999	0.239688	0	proximal	distal	4
chr10:102055819-102056437	chr10:102776002-102776173	0.0302299	0.612027	proximal	distal	4
chr10:102088540-102088999	chr10:102917574-102917725	0.211446	0	proximal	distal	8
chr10:102132517-102132707	chr10:102729316-102729590	0.199694	0	proximal	distal	4
chr10:102132814-102133124	chr10:102545832-102545996	0.044736	0.0139517	proximal	distal	4
chr10:102132814-102133124	chr10:102642105-102642522	0.0270174	0.612027	proximal	distal	4
chr10:102169501-102169770	chr10:102461234-102461469	0.0649911	5.70182e-06	proximal	distal	4
chr10:102169501-102169770	chr10:102854150-102854742	0.105879	0	proximal	distal	12
chr10:102230444-102230787	chr10:102432262-102432851	0.0351946	0.201893	proximal	distal	4
chr10:102230444-102230787	chr10:102869357-102869524	0.0227658	0.612027	proximal	distal	4
chr10:102241551-102241844	chr10:102753014-102753410	0.027898	0.612027	proximal	distal	4
chr10:102245148-102245664	chr10:102395535-102395738	0.0383333	0.0897959	proximal	distal	4
chr10:102313188-102313403	chr10:102644906-102645141	0.101454	0	proximal	distal	8
chr10:102395535-102395738	chr10:102420964-102421454	0.0297584	0.612027	proximal	distal	4
chr10:102403910-102404070	chr10:102917574-102917725	0.100839	0	proximal	distal	8
chr10:102419619-102419843	chr10:102645682-102645880	0.165257	0	proximal	distal	4
chr10:102450379-102450590	chr10:102729316-102729590	0.0375768	0.109782	proximal	distal	4
chr10:102645682-102645880	chr10:102713694-102714946	0.0292544	0.612027	proximal	distal	8
chr10:102729316-102729590	chr10:103350843-103351298	0.04508	0.0125312	proximal	distal	4
chr10:102869588-102869817	chr10:103192767-103193451	0.0970533	5.17006e-14	proximal	distal	4
chr10:103101825-103101975	chr10:103350843-103351298	0.0338945	0.276211	proximal	distal	4
chr10:103350843-103351298	chr10:103389580-103390115	0.103851	0	proximal	distal	4
chr10:103367732-103368041	chr10:103661404-103662081	0.200317	0	proximal	distal	4
chr10:103605572-103605722	chr10:104338081-104338495	0.0954563	1.76827e-13	proximal	distal	4
chr10:103908323-103908556	chr10:103918080-103918702	0.0920283	1.76676e-12	proximal	distal	4
chr10:103917748-103917916	chr10:104071306-104071488	0.126026	0	proximal	distal	4
chr10:109852553-109852783	chr10:110007370-110008492	0.0266831	0.612027	proximal	distal	4
chr10:109884234-109884658	chr10:109923332-109923644	0.0917251	2.14387e-12	proximal	distal	4
chr10:110007370-110008492	chr10:110512928-110513084	0.0406271	0.0476733	proximal	distal	4
chr10:110226097-110227544	chr10:110644129-110644594	0.0213017	0.612027	proximal	distal	4
chr10:110318233-110318383	chr10:110644129-110644594	0.127048	0	proximal	distal	4
chr10:110497690-110498128	chr10:110701662-110702077	0.0300287	0.612027	proximal	distal	4
chr10:110567239-110567749	chr10:110672208-110672631	0.0439006	0.0180706	proximal	distal	4
chr10:110567835-110568027	chr10:111143047-111143240	0.136754	0	proximal	distal	4
chr10:110567835-110568027	chr10:111375345-111375495	0.132272	0	proximal	distal	4
chr10:110752158-110752308	chr10:110919061-110919872	0.032789	0.356797	proximal	distal	8
chr10:113429825-113429988	chr10:113679668-113680046	0.0493337	0.00308093	proximal	distal	4
chr10:113538311-113538461	chr10:113854306-113854678	0.0982052	2.61359e-14	proximal	distal	8
chr10:113538311-113538461	chr10:113854792-113855293	0.054206	0.000524327	proximal	distal	8
chr10:113678878-113679443	chr10:114340214-114340368	0.208476	0	proximal	distal	4
chr10:113679668-113680046	chr10:113680124-113680400	0.0757223	2.78908e-08	proximal	distal	4
chr10:114055063-114055215	chr10:114174100-114174671	0.0235021	0.612027	proximal	distal	4
chr10:114755014-114755164	chr10:114768199-114768459	0.0440391	0.0173064	proximal	distal	4
chr10:114755014-114755164	chr10:114938150-114938494	0.167562	0	proximal	distal	4
chr10:114822362-114822544	chr10:115056317-115056581	0.197653	0	proximal	distal	4
chr10:115093225-115093719	chr10:115990508-115990669	0.0220873	0.612027	proximal	distal	4
chr10:11611325-11611885	chr10:12186650-12186836	0.0303565	0.612027	proximal	distal	8
chr10:116272743-116273038	chr10:116849698-116849931	0.0617384	2.43815e-05	proximal	distal	8
chr10:117004593-117005332	chr10:117216743-117216911	0.148696	0	proximal	distal	4
chr10:117137011-117137256	chr10:117137601-117137757	0.152823	0	proximal	distal	4
chr10:117542222-117542405	chr10:117728326-117728476	0.24388	0	proximal	distal	4
chr10:118341793-118342131	chr10:118754161-118754311	0.0703036	4.55534e-07	proximal	distal	8
chr10:118501561-118501736	chr10:119103827-119104410	0.0380972	0.0956479	proximal	distal	4
chr10:118501561-118501736	chr10:119178719-119178975	0.0573555	0.000152384	proximal	distal	4
chr10:118888870-118889020	chr10:119029320-119029758	0.0226357	0.612027	proximal	distal	8
chr10:118888870-118889020	chr10:119207370-119207691	0.0270732	0.612027	proximal	distal	8
chr10:119011405-119011592	chr10:119103827-119104410	0.0597939	5.59073e-05	proximal	distal	4
chr10:119029320-119029758	chr10:119209543-119209699	0.0661825	3.28009e-06	proximal	distal	8
chr10:119029320-119029758	chr10:119602611-119602761	0.0423053	0.0292476	proximal	distal	8
chr10:119080571-119081237	chr10:119487661-119487811	0.0402303	0.0532867	proximal	distal	8
chr10:119081303-119081457	chr10:119907870-119908096	0.373553	0	proximal	distal	8
chr10:119103827-119104410	chr10:119489628-119489959	0.0516949	0.00133379	proximal	distal	4
chr10:119139586-119139736	chr10:119165202-119165828	0.0938782	5.19387e-13	proximal	distal	4
chr10:119178719-119178975	chr10:119410969-119411180	0.0366308	0.1405	proximal	distal	4
chr10:119178719-119178975	chr10:119907870-119908096	0.0899559	6.71786e-12	proximal	distal	4
chr10:119489628-119489959	chr10:119892460-119892814	0.112685	0	proximal	distal	8
chr10:119542442-119542905	chr10:119873414-119873606	0.0883435	1.85806e-11	proximal	distal	4
chr10:12042741-12043489	chr10:12720444-12720595	0.0418291	0.0336943	proximal	distal	4
chr10:12053677-12054105	chr10:12068397-12069313	0.0472	0.0063381	proximal	distal	4
chr10:120979451-120980032	chr10:121377766-121377916	0.085565	1.01862e-10	proximal	distal	4
chr10:121814024-121814218	chr10:121956715-121956921	0.0601813	4.75368e-05	proximal	distal	4
chr10:121974336-121974566	chr10:122298847-122299047	0.0894155	9.48463e-12	proximal	distal	4
chr10:122112775-122113080	chr10:122374393-122374879	0.032744	0.360348	proximal	distal	4
chr10:122142737-122143065	chr10:122374393-122374879	0.0588086	8.43726e-05	proximal	distal	4
chr10:122374393-122374879	chr10:122980226-122980851	0.0270011	0.612027	proximal	distal	4
chr10:122879510-122880120	chr10:123393201-123393367	0.107863	0	proximal	distal	8
chr10:123133014-123133379	chr10:123153960-123154545	0.0524741	0.00100363	proximal	distal	4
chr10:123155055-123155205	chr10:123994447-123994619	0.200106	0	proximal	distal	4
chr10:124461523-124462366	chr10:124565518-124565668	0.021542	0.612027	proximal	distal	4
chr10:124461523-124462366	chr10:124833055-124833328	0.0229334	0.612027	proximal	distal	4
chr10:124530264-124530414	chr10:124916450-124916995	0.166569	0	proximal	distal	8
chr10:124655761-124655994	chr10:124791605-124792246	0.0590368	7.67359e-05	proximal	distal	8
chr10:124693925-124694180	chr10:124916450-124916995	0.109091	0	proximal	distal	8
chr10:124791605-124792246	chr10:125209095-125209302	0.161955	0	proximal	distal	8
chr10:124916450-124916995	chr10:124952189-124952354	0.0398236	0.0597087	proximal	distal	8
chr10:124916450-124916995	chr10:124970666-124970872	0.025036	0.612027	proximal	distal	8
chr10:125661918-125662482	chr10:125896419-125896569	0.0276073	0.612027	proximal	distal	8
chr10:129963499-129963924	chr10:130110456-130110984	0.0293311	0.612027	proximal	distal	4
chr10:129971688-129971911	chr10:130111094-130111395	0.0251518	0.612027	proximal	distal	4
chr10:13161184-13161643	chr10:13788023-13788250	0.0365725	0.142641	proximal	distal	4
chr10:131900493-131901090	chr10:132430193-132430343	0.0723813	1.60298e-07	proximal	distal	4
chr10:131981419-131981569	chr10:132142516-132142728	0.055049	0.000379585	proximal	distal	4
chr10:132142516-132142728	chr10:132331567-132332078	0.0277236	0.612027	proximal	distal	8
chr10:132331567-132332078	chr10:132517087-132517363	0.0901248	6.04587e-12	proximal	distal	8
chr10:132331567-132332078	chr10:132654753-132654903	0.0348752	0.218463	proximal	distal	8
chr10:13302127-13302586	chr10:13440221-13440470	0.188714	0	proximal	distal	4
chr10:133111694-133111962	chr10:133378315-133378571	0.172495	0	proximal	distal	4
chr10:133127559-133128117	chr10:133309100-133309380	0.0288755	0.612027	proximal	distal	8
chr10:133324434-133324837	chr10:133520202-133520600	0.105755	0	proximal	distal	4
chr10:133357597-133358388	chr10:133660636-133660836	0.129302	0	proximal	distal	4
chr10:13347732-13348031	chr10:13440221-13440470	0.0959755	1.27351e-13	proximal	distal	8
chr10:13528931-13529451	chr10:13788023-13788250	0.158903	0	proximal	distal	8
chr10:14777488-14777638	chr10:14877871-14879148	0.0893889	9.64672e-12	proximal	distal	8
chr10:14945748-14945964	chr10:15168456-15169181	0.0214118	0.612027	proximal	distal	4
chr10:15097511-15097697	chr10:15850457-15850910	0.0309878	0.534947	proximal	distal	8
chr10:15168456-15169181	chr10:15585304-15585546	0.0277508	0.612027	proximal	distal	4
chr10:15168456-15169181	chr10:15605129-15605301	0.0259124	0.612027	proximal	distal	4
chr10:15431569-15431772	chr10:15859863-15860664	0.0236347	0.612027	proximal	distal	4
chr10:16952902-16953117	chr10:17201335-17201948	0.183146	0	proximal	distal	4
chr10:21516175-21516339	chr10:21525480-21526698	0.0953663	2.01839e-13	proximal	distal	8
chr10:21525480-21526698	chr10:22468997-22469208	0.117631	0	proximal	distal	8
chr10:21527184-21527589	chr10:22379331-22379642	0.178975	0	proximal	distal	4
chr10:22340333-22340638	chr10:22379803-22379998	0.0215709	0.612027	proximal	distal	4
chr10:22553309-22553493	chr10:22714151-22714808	0.0475283	0.00568915	proximal	distal	4
chr10:23408489-23408689	chr10:23438827-23439246	0.231001	0	proximal	distal	8
chr10:24221588-24221749	chr10:24724589-24725072	0.108523	0	proximal	distal	4
chr10:25934684-25935135	chr10:26173046-26173230	0.0530466	0.00081146	proximal	distal	4
chr10:26622953-26623130	chr10:26697541-26697789	0.0632108	1.27278e-05	proximal	distal	4
chr10:28678400-28678550	chr10:29496447-29496597	0.806247	0	proximal	distal	4
