peak	types	genes	states	n_edges
chr10:100009468-100010162	proximal	DNMBP	.	6
chr10:100110320-100110591	distal	.	.	10
chr10:100185815-100186181	proximal	ERLIN1	.	6
chr10:100186297-100186477	proximal	ERLIN1	.	8
chr10:100228798-100229237	proximal	CHUK,CHUK-DT	.	8
chr10:100229311-100229805	proximal	CHUK,CHUK-DT	.	24
chr10:100267241-100267812	proximal	CWF19L1	.	4
chr10:100286065-100286979	proximal	BLOC1S2	.	8
chr10:100346459-100346673	proximal	ENSG00000231188,SCD	.	16
chr10:100346843-100347200	proximal	ENSG00000231188,SCD	.	20
chr10:100373320-100374124	proximal	ENSG00000289301,OLMALINC	.	16
chr10:100433590-100434067	distal	.	.	8
chr10:100481584-100481891	distal	.	.	8
chr10:100481978-100482164	distal	.	.	2
chr10:100482402-100482833	distal	.	.	2
chr10:100483119-100483269	distal	.	.	2
chr10:100535530-100536122	distal	.	.	24
chr10:100654987-100655217	distal	.	.	4
chr10:100671114-100671282	distal	.	.	12
chr10:100680830-100680980	distal	.	.	2
chr10:100686207-100686357	distal	.	.	8
chr10:100715396-100715560	distal	.	.	4
chr10:100729394-100729910	distal	.	.	2
chr10:100729981-100730131	distal	.	.	2
chr10:100746241-100746409	distal	.	.	4
chr10:100760904-100761054	distal	.	.	16
chr10:100878535-100878763	distal	.	.	8
chr10:100912662-100913093	proximal	ENSG00000272572,SLF2	.	8
chr10:100969672-100969991	proximal	SEMA4G	.	4
chr10:100987001-100987352	proximal	MRPL43,TWNK	.	28
chr10:100987855-100988250	proximal	MRPL43,TWNK	.	8
chr10:100997704-100998104	distal	.	.	14
chr10:100998191-100998393	distal	.	.	4
chr10:101019065-101019408	distal	.	.	10
chr10:101030432-101030689	proximal	SFXN3	.	14
chr10:101031393-101031633	proximal	PDZD7,SFXN3	.	8
chr10:101041291-101041441	distal	.	.	8
chr10:101042632-101043265	distal	.	.	2
chr10:101050169-101050540	distal	.	.	2
chr10:101062611-101062814	proximal	KAZALD1	.	6
chr10:101095667-101095871	distal	.	.	2
chr10:101142353-101142543	distal	.	.	4
chr10:101161749-101162054	distal	.	.	12
chr10:101229908-101230530	proximal	LBX1,LBX1-AS1	.	8
chr10:101272290-101272490	distal	.	.	4
chr10:101291720-101292095	distal	.	.	4
chr10:101292298-101292677	distal	.	.	8
chr10:101301534-101301705	distal	.	.	2
chr10:101353693-101354827	proximal	BTRC	.	4
chr10:101454373-101454811	distal	.	.	4
chr10:101485966-101486318	distal	.	.	2
chr10:101566407-101566913	distal	.	.	8
chr10:101570254-101570623	proximal	DPCD	.	10
chr10:101579355-101579523	distal	.	.	6
chr10:101587927-101588342	proximal	POLL	.	16
chr10:101667869-101668195	distal	.	.	8
chr10:101693937-101694972	proximal	ENSG00000286489,FBXW4	.	4
chr10:101695095-101695405	proximal	ENSG00000286489,FBXW4	.	20
chr10:101783360-101783510	proximal	NPM3	.	6
chr10:101817953-101818267	proximal	KCNIP2-AS1,OGA	.	8
chr10:101829598-101829810	distal	.	.	8
chr10:101830540-101831115	distal	.	.	2
chr10:101836070-101836272	distal	.	.	8
chr10:101840748-101841003	distal	.	.	2
chr10:101841118-101841408	distal	.	.	8
chr10:101857028-101857236	distal	.	.	14
chr10:102035767-102035917	distal	.	.	6
chr10:102055819-102056437	proximal	ARMH3	.	14
chr10:102058017-102058167	distal	.	.	12
chr10:102064865-102065101	proximal	HPS6	.	4
chr10:102065175-102065975	proximal	HPS6	.	2
chr10:102088540-102088999	distal	.	.	20
chr10:102091154-102091304	distal	.	.	4
chr10:102114713-102115138	distal	.	.	2
chr10:102132517-102132707	proximal	PPRC1	.	4
chr10:102132814-102133124	proximal	PPRC1	.	16
chr10:102133576-102133828	proximal	PPRC1	.	6
chr10:102151935-102152660	proximal	NOLC1	.	4
chr10:102169501-102169770	distal	.	.	26
chr10:102229874-102230347	distal	.	.	6
chr10:102230444-102230787	distal	.	.	12
chr10:102231081-102231529	distal	.	.	2
chr10:102231878-102232072	distal	.	.	2
chr10:102241551-102241844	proximal	PITX3	.	6
chr10:102245148-102245664	proximal	GBF1	.	10
chr10:102313188-102313403	distal	.	.	18
chr10:102393954-102394482	proximal	NFKB2	.	2
chr10:102395535-102395738	distal	.	.	8
chr10:102399547-102399985	distal	.	.	6
chr10:102403910-102404070	distal	.	.	10
chr10:102419619-102419843	proximal	FBXL15	.	6
chr10:102420735-102420895	proximal	PSD	.	2
chr10:102420964-102421454	proximal	PSD	.	12
chr10:102432262-102432851	proximal	CUEDC2	.	4
chr10:102450379-102450590	proximal	C10orf95-AS1	.	6
chr10:102461234-102461469	proximal	MFSD13A	.	6
chr10:102461861-102462150	proximal	MFSD13A	.	8
chr10:102503718-102504101	proximal	SUFU	.	4
chr10:102545832-102545996	distal	.	.	4
chr10:102607810-102607960	distal	.	.	2
chr10:102642105-102642522	distal	.	.	4
chr10:102644906-102645141	proximal	TRIM8,TRIM8-DT	.	8
chr10:102645682-102645880	distal	.	.	12
chr10:102713694-102714946	proximal	ARL3,SFXN2	.	12
chr10:102729316-102729590	distal	.	.	12
