cluster	n_peaks	n_proximal	n_distal	n_genes	span	states	genes
315	133	79	54	92	chr11:62652843-67770015 (5117kb)	.	ACTN3,ARL2,ARL2-SNX15,ATG2A,BANF1,BBS1,BRMS1,C11orf68,C11orf80,CCDC87,CCDC88B,CCS,CDC42EP2,CDCA5,CORO1B,DNAJC4,DPF2,DPP3,DPP3-DT,DRAP1,EFEMP2,EHD1,EIF1AD,ENSG00000236935,ENSG00000254458,ENSG00000254501,ENSG00000254510,ENSG00000255173,ENSG00000255320,ENSG00000270117
2282	125	57	68	60	chr6:25547888-28588441 (3041kb)	.	ABT1,BTN2A1,BTN2A2,BTN3A1,BTN3A2,ENSG00000261839,ENSG00000272009,ENSG00000282988,ENSG00000283064,ENSG00000284607,ENSG00000286652,ENSG00000287966,ENSG00000289117,ENSG00000290055,ENSG00000291112,GUSBP2,H1-2,H2AC12,H2AC13,H2AC15,H2AC17,H2AC6,H2AC7,H2BC11,H2BC12,H2BC13,H2BC15,H2BC17,H2BC4,H2BC5
1399	116	39	77	48	chr19:47002919-51690914 (4688kb)	.	AP2A1,ATF5,BCL2L12,BICRA,C19orf73,CGB2,CRX,CTU1,CYTH2,DBP,DKKL1,EMC10,ENSG00000197813,ENSG00000268520,ENSG00000268530,ENSG00000268746,ENSG00000269403,ENSG00000273189,ENSG00000277383,ENSG00000287001,ETFB,FCGRT,FLT3LG,FTL,FUZ,GARIN5A,IL4I1,KCNC3,KLK4,KLK8
1287	108	54	54	59	chr19:344498-3971543 (3627kb)	.	ABCA7,ABHD17A,ADAT3,ARID3A,ATP5F1D,ATP8B3,BSG,BSG-AS1,C19orf25,CNN2,CSNK1G2,DAPK3,ENSG00000261526,ENSG00000267001,ENSG00000267059,ENSG00000267092,ENSG00000267372,ENSG00000267448,ENSG00000267666,ENSG00000267755,ENSG00000272473,ENSG00000288704,FAM174C,GPX4,IZUMO4,LINC01836,MADCAM1-AS1,MBD3,MED16,MIDN
965	99	57	42	64	chr16:78113-3903281 (3825kb)	.	ABCA3,ATP6V0C,C16orf91,CCNF,CEMP1,CLDN6,CLUAP1,CRAMP1,DNASE1,E4F1,ECI1,ELOB,EME2,ENSG00000205890,ENSG00000259784,ENSG00000261889,ENSG00000263011,ENSG00000263212,ENSG00000263280,ENSG00000276791,ENSG00000285329,ENSG00000289222,ENSG00000290183,ENSG00000291228,ERVK13-1,FAHD1,FLYWCH1,FLYWCH2,GFER,HAGH
275	91	45	46	42	chr1:154116401-157551297 (3435kb)	.	ADAR,ARHGEF2-AS2,BCAN,BCAN-AS1,CKS1B,DPM3,EFNA1,EFNA3,EFNA4,EFNA4-EFNA3,ENSG00000232519,ENSG00000270361,ENSG00000271380,ENSG00000273110,ENSG00000285570,ENSG00000289103,ENSG00000289593,ETV3,FDPS,FLAD1,HAX1,IL6R,ISG20L2,KRTCAP2,LAMTOR2,LMNA,LRRC71,METTL25B,MEX3A,MIR9-1HG
1382	90	38	52	43	chr19:43178652-46688015 (3509kb)	.	APOC1,APOC1P1,BCAM,BCL3,BLOC1S3,CADM4,CLASRP,CLPTM1,DMWD,EML2,EML2-AS1,ENSG00000267022,ENSG00000267114,ENSG00000267282,ENSG00000269583,ERCC2,EXOC3L2,FBXO46,FOSB,GEMIN7-AS1,IGFL3,IRF2BP1,LYPD5,MYPOP,NECTIN2,PINLYP,POLR1G,PPP1R13L,PPP1R37,PPP5C
1322	87	41	46	48	chr19:16635249-19733242 (3098kb)	.	ABHD8,ANO8,ARMC6,ARRDC2,ATP13A1,B3GNT3,BORCS8,BORCS8-MEF2B,CCDC124,CRTC1,DDA1,ELL,ENSG00000268173,ENSG00000268650,ENSG00000268790,ENSG00000269044,ENSG00000269736,FCHO1,FKBP8,GATAD2A,GTPBP3,HOMER3,HOMER3-AS1,ISYNA1,KLHL26,KXD1,MAP1S,MAST3,MEF2B,NIBAN3
988	81	46	35	50	chr16:28291995-31443281 (3151kb)	.	ASPHD1,BOLA2B,CD2BP2,CD2BP2-DT,CDIPT,CORO1A,ENSG00000239791,ENSG00000246465,ENSG00000255439,ENSG00000261459,ENSG00000262766,ENSG00000274904,ENSG00000275263,ENSG00000275807,ENSG00000278713,ENSG00000280893,ENSG00000285043,ENSG00000288983,ENSG00000291188,FBXL19,FBXL19-AS1,FUS,HSD3B7,ITGAL,KCTD13,KCTD13-DT,MAPK3,MIR762HG,PPP4C,PRRT2
1391	81	34	47	39	chr19:46076998-49987363 (3910kb)	.	ALDH16A1,AP2S1,ARHGAP35,BAX,BCAT2,BICRA,CALM3,CARD8,CARD8-AS1,CYTH2,DHDH,DHX34,ENSG00000268530,ENSG00000269487,ENSG00000277383,ENSG00000288827,ENSG00000289915,GRWD1,HSD17B14,IGFL4,IZUMO1,KDELR1,KPTN,LMTK3,NAPA,NAPA-AS1,NOP53,NUCB1,PIH1D1,PLEKHA4
